1.wav|제이피는 삼공때 제철소를 시작할 당시 총리도 하고해 자연스럽게 자주 만났을 뿐입니다.|제이피는 삼공때 제철소를 시작할 당시 총리도 하고해 자연스럽게 자주 만났을 뿐입니다.
2.wav|국회의원 당직자이기 전에 당원의식을 갖는 것이 중요하다고 생각합니다.|국회의원 당직자이기 전에 당원의식을 갖는 것이 중요하다고 생각합니다.
3.wav|어떤 이벤트에 따라 다소 생각이 다를 수 있으나 이념과 뜻이 같기 때문에 당에 들어 온 것 아니겠습니까.|어떤 이벤트에 따라 다소 생각이 다를 수 있으나 이념과 뜻이 같기 때문에 당에 들어 온 것 아니겠습니까.
4.wav|당헌을 보니 내가 하도록 돼 있던데 오늘 저녁 생각해 내일이나 모레쯤 총재와 의논해 결정할 계획입니다.|당헌을 보니 내가 하도록 돼 있던데 오늘 저녁 생각해 내일이나 모레쯤 총재와 의논해 결정할 계획입니다.
5.wav|그런 것까지 포함해 여러가지를 공부해 봐야겠어요.|그런 것까지 포함해 여러가지를 공부해 봐야겠어요.
6.wav|오일 오후 노태우대통령으로부터 대표위원 임명통보를 받은 뒤 오후 사 시쯤 민정당사에 도착 곧바로 가진 기자회견에서 그는 밝은 표정으로 질문에 응했으나 정계개편등 중요 현안에 대해서는 앞으로 공부를 더해 답하겠다는 말로 답변을 대신했다.|오일 오후 노태우대통령으로부터 대표위원 임명통보를 받은 뒤 오후 사 시쯤 민정당사에 도착 곧바로 가진 기자회견에서 그는 밝은 표정으로 질문에 응했으나 정계개편등 중요 현안에 대해서는 앞으로 공부를 더해 답하겠다는 말로 답변을 대신했다.
7.wav|당헌을 보니 내가 하도록 돼 있던데 오늘 저녁 생각해 내일이나 모레쯤 총재와 의논해 결정할 계획입니다.|당헌을 보니 내가 하도록 돼 있던데 오늘 저녁 생각해 내일이나 모레쯤 총재와 의논해 결정할 계획입니다.
8.wav|포철은 구십이년에 연산 이천만톤의 목표가 끝나는데 그 일이 진행되는 가운데 당장은 해외에 제 얼굴이 필요할 때도 있을 것 같아 그 문제를 해결 해가면서 처리하겠습니다.|포철은 구십이년에 연산 이천만톤의 목표가 끝나는데 그 일이 진행되는 가운데 당장은 해외에 제 얼굴이 필요할 때도 있을 것 같아 그 문제를 해결 해가면서 처리하겠습니다.
9.wav|분들은 모두 평생 동안 정치를 해와 정치역량이 뛰어나기 때문에 배워가며 정치해야겠다고 생각해요.|분들은 모두 평생 동안 정치를 해와 정치역량이 뛰어나기 때문에 배워가며 정치해야겠다고 생각해요.
10.wav|김영삼 민주당총재의 조기정계개편론으로 정계가 떠들썩한 가운데 공화당의 동향에 시선이 집중되고 있다.|김영삼 민주당총재의 조기정계개편론으로 정계가 떠들썩한 가운데 공화당의 동향에 시선이 집중되고 있다.
11.wav|궁극적으로 보수대연합을 지향하는 김총재의 짝짓기 대상이 우선 공화당으로 떠오르고 있기 때문이다 팔일 공화당 김종필총재를 만나 정계개편 문제등에 대한 그의 속 생각을 들어 보았다.|궁극적으로 보수대연합을 지향하는 김총재의 짝짓기 대상이 우선 공화당으로 떠오르고 있기 때문이다 팔일 공화당 김종필총재를 만나 정계개편 문제등에 대한 그의 속 생각을 들어 보았다.
